Time,Pelvis,Right Hand,Left Hand,Head,Right Foot,Left Foot
49,[0.03240499 0.13946544 1.        ],[0.4059608 0.3352984 1.5256764],[-0.20835209  0.5974597   1.3907075 ],[-0.00319816  0.20348422  1.7260692 ],[0.2106682  0.11698042 0.12368166],[0.03912562 0.14198337 0.11266136]
50,[0.04183045 0.15182176 1.        ],[0.41609368 0.33729854 1.5371463 ],[-0.20605904  0.6171357   1.3925704 ],[0.00386517 0.21573958 1.7256991 ],[0.22192082 0.12592354 0.12031001],[0.04614843 0.1413987  0.11174846]
51,[0.04923106 0.1646797  1.        ],[0.42037317 0.34789413 1.5360984 ],[-0.20088893  0.6153899   1.391028  ],[0.01356161 0.2285232  1.7229376 ],[0.2361081  0.14162326 0.12081504],[0.05931539 0.13786149 0.10927665]
52,[0.05722437 0.18044303 1.        ],[0.41960016 0.40145403 1.5304763 ],[-0.19907464  0.64144814  1.3937628 ],[0.02402253 0.24740975 1.726788  ],[0.24182966 0.1681209  0.11761206],[0.06539097 0.14612024 0.10402209]
53,[0.065856  0.1953162 1.       ],[0.42282256 0.4158265  1.5308372 ],[-0.2057204  0.647866   1.3947612],[0.03668081 0.264979   1.7261909 ],[0.25100365 0.18905699 0.12093437],[0.06900638 0.1531074  0.1085552 ]
54,[0.07493238 0.21320678 1.        ],[0.42722252 0.4498596  1.5318141 ],[-0.20711814  0.6691195   1.3933458 ],[0.04547304 0.28350154 1.7276801 ],[0.2614366  0.21109344 0.12054789],[0.07951298 0.16073515 0.11059058]
55,[0.08401476 0.230281   1.        ],[0.4289554  0.49142468 1.5368769 ],[-0.21432771  0.6820646   1.3950865 ],[0.05477243 0.29930544 1.7287403 ],[0.26355457 0.22279274 0.1155051 ],[0.08029305 0.1570189  0.10845983]
56,[0.09342206 0.24300037 1.        ],[0.42489716 0.52288365 1.5460064 ],[-0.22245768  0.6852805   1.3912876 ],[0.06627402 0.31571472 1.7271574 ],[0.2627304  0.24424194 0.11650091],[0.08651478 0.16854714 0.1094386 ]
57,[0.10296694 0.25631884 1.        ],[0.4145595 0.5556824 1.5648408],[-0.23486832  0.68027896  1.3864298 ],[0.08234711 0.32788798 1.7254522 ],[0.2621263  0.2682205  0.11813092],[0.09225408 0.18508276 0.11088991]
58,[0.11261154 0.27147737 1.        ],[0.4116401  0.59002537 1.5673443 ],[-0.24660967  0.670532    1.382648  ],[0.09559216 0.345269   1.7257168 ],[0.25457746 0.28302005 0.11769205],[0.09063578 0.19415657 0.11404049]
59,[0.12243763 0.2868574  1.        ],[0.4073166 0.6124165 1.5757282],[-0.25260004  0.67236614  1.3720682 ],[0.10623662 0.35755298 1.7275134 ],[0.24975336 0.29308334 0.11821544],[0.09667726 0.20320645 0.11361516]
60,[0.13223858 0.29486522 1.        ],[0.38867074 0.6385414  1.5869741 ],[-0.26680923  0.65283084  1.3705392 ],[0.11358488 0.3594856  1.7272093 ],[0.24204299 0.31223175 0.11794776],[0.09537075 0.2013831  0.11295569]
61,[0.14208579 0.3011194  1.        ],[0.37841007 0.6650876  1.583719  ],[-0.2761879  0.619629   1.3685052],[0.12325142 0.36623293 1.7242022 ],[0.22837687 0.32585478 0.11921799],[0.09404116 0.20985723 0.11478037]
62,[0.15215336 0.3003929  1.        ],[0.35081154 0.67872804 1.5742917 ],[-0.28709716  0.5737343   1.3595502 ],[0.13141242 0.36837777 1.7213643 ],[0.20838243 0.30664894 0.11385393],[0.09105369 0.19898447 0.1137535 ]
63,[0.1620864  0.29849973 1.        ],[0.33998817 0.71753836 1.5644403 ],[-0.28718272  0.54112893  1.3500733 ],[0.13572313 0.36400393 1.7210047 ],[0.17720637 0.329492   0.11258584],[0.07261486 0.19399336 0.11681741]
64,[0.17204398 0.29030505 1.        ],[0.3005624 0.6915853 1.5612384],[-0.28843224  0.5256729   1.3381815 ],[0.13565771 0.36035272 1.715044  ],[0.1581715  0.30931446 0.10893607],[0.05747751 0.16791226 0.11600256]
65,[0.18171225 0.2863365  1.        ],[0.2627199  0.70456666 1.546251  ],[-0.27874255  0.49417183  1.314716  ],[0.1235825  0.34641358 1.710826  ],[0.14470446 0.29301783 0.11469388],[0.04599425 0.1534885  0.12245214]
66,[0.19139871 0.28002003 1.        ],[0.20762286 0.7131899  1.5477622 ],[-0.26986715  0.46647862  1.3046343 ],[0.14142202 0.34346834 1.7088293 ],[0.14116691 0.2655461  0.10917544],[0.03913869 0.12269549 0.11803758]
67,[0.20117179 0.27150783 1.        ],[0.15210788 0.74797934 1.5375004 ],[-0.24338293  0.45758918  1.2920514 ],[0.14700732 0.33849618 1.7097697 ],[0.1458044  0.2575743  0.11183321],[0.04458851 0.10891111 0.12359035]
68,[0.2108371  0.26587236 1.        ],[0.12203427 0.7124627  1.5248332 ],[-0.2209267  0.4135865  1.2836748],[0.15764615 0.3475551  1.7114716 ],[0.14812978 0.2460671  0.11604983],[0.04690582 0.09783215 0.12735933]
69,[0.22049937 0.26352152 1.        ],[0.08942064 0.7268906  1.5238814 ],[-0.20160043  0.353107    1.2841147 ],[0.17212924 0.3467209  1.7179617 ],[0.14833364 0.24036805 0.11612463],[0.06482696 0.08004133 0.1312952 ]
70,[0.23014265 0.25917792 1.        ],[0.06042173 0.70247996 1.5047894 ],[-0.17990229  0.31488514  1.2742447 ],[0.18383227 0.33079386 1.7149177 ],[0.15418865 0.23256588 0.12846601],[0.08327513 0.06994642 0.149198  ]
71,[0.23965469 0.25853977 1.        ],[0.04848665 0.697306   1.4891617 ],[-0.15818223  0.29011998  1.273375  ],[0.19279818 0.33273914 1.7118465 ],[0.15432143 0.23010209 0.12564802],[0.1009195  0.04934159 0.14931035]
72,[0.24917498 0.2561435  1.        ],[0.02337118 0.70979494 1.4866139 ],[-0.13726673  0.26334733  1.2816335 ],[0.20302397 0.3237521  1.7171005 ],[0.14946172 0.24509318 0.1344775 ],[0.13767841 0.06503362 0.16672099]
73,[0.25855264 0.2512569  1.        ],[-0.01505332  0.6634351   1.4878509 ],[-0.11942025  0.23654094  1.2782991 ],[0.20772703 0.31961134 1.7213697 ],[0.14989027 0.22714522 0.1223914 ],[0.18292315 0.06711581 0.15538478]
74,[0.26783973 0.25010818 1.        ],[-0.03584613  0.5721285   1.4978976 ],[-0.09201087  0.19906373  1.2980384 ],[0.22678171 0.329768   1.7175846 ],[0.15025626 0.2149014  0.14101505],[0.2507422  0.05400629 0.16031265]
75,[0.2769667  0.24254772 1.        ],[-0.05246746  0.5645064   1.4814157 ],[-0.07465833  0.17941448  1.3010334 ],[0.22942886 0.32998034 1.7164677 ],[0.15135945 0.19052038 0.13654542],[0.26457384 0.04176864 0.1531061 ]
76,[0.28596336 0.23515491 1.        ],[-0.07636017  0.498788    1.4838943 ],[-0.02145719  0.23773657  1.2894104 ],[0.23647065 0.3245365  1.7169816 ],[0.15341483 0.19306771 0.13674104],[0.32247436 0.03722482 0.14742231]
